Positive Melanoma Markers	Positive Brain melanoma Markers	All Distinguishing Markers
zgc:174863	ethe1	hck
rfc5	agap2	wnk1a
phlda1	cyp46a1.2	susd6
prelp	ppp1r18	tmsb2
pabpc4	col1a1a	si:ch211-114n24.6
si:ch73-347e22.4	gys1	txlna
si:dkey-79f11.10	mgst1.2	sh3rf1
etv4	atpv0e2	rbp4
nenf	hbegfb	si:ch211-281l24.3
tatdn1	wipi1	tagapa
eif4e2rs1	pole	serinc1
dnajc12	wdr76	si:dkey-25e12.3
tcirg1a	spra	serbp1a
ftr43	plk4	cab39l1
pole3	bzw2	si:dkey-171c9.3
trnau1apa	slc30a5	anxa2a
pfas	foxc1b	per1b
snrnp40	zgc:158640	si:dkey-200l5.4
umps	foxp4	kansl1b
e2f3	stx1b	stmn1b
pard6gb	napepld	nptna
myo10l3	ikzf1	calcoco2
mtfr2	col6a3	tfe3a
mapk8ip3	col1a1b	dub
c1d	cenpk	TAGAP
si:ch211-285c6.5	sox11a	maff
phb2b	zgc:113983	cavin1b
tbx2b	slc35c2	si:ch211-132g1.4
gpx3	ms4a17a.11	rfesd
cers2a	fabp11a	ets2
snrpa	ago3b	sftpbb
ifit16	stn1	psap
plekha1a	klf3	syncrip
fbxl6	aoc2	c1qa
palm2akap2.1	si:ch211-136a13.1	c1qb
hoxa9b	rhogd	abca1a
cox20	abhd15a	Sep-02
slc2a11b	si:ch211-113a14.12	rps6ka1
vash2	sfr1	purba
znrd2	rmi2	tmem131l
mrpl14	mmaa	actr2a
stard9	plpp3	hgh1
CT573476.1	plp2	si:dkey-33c12.4
rnaseh2c	man1a1	mrpl9
ppih	scrn2	mafba
dct	adat2	sf3b4
gna12a	syt1a	nr3c1
ppan	usp2a	smad3a
pcbp4	si:dkey-258f14.3	si:ch73-248e21.7
zdhhc2	si:dkey-171c9.3	lpin2
nol7	cd83	si:rp71-68n21.9
lig1	ipo8	sesn1
si:ch211-243a20.3	rabl2	NPC2
kif11	C1H4orf33	hsp70.3
bckdhb	tpgs2	c1qbp
mrpl18	loxl2b	selenop
eif2b3	rad52	rida
mrpl17	mybl2b	acap1
si:dkey-108k21.10	tpm4a	gp1bb
si:ch211-137i24.10	spata20	scpep1
vrk1	tspy	hbegfa
hoxa11b	axin2	marco
ftr22	cd82a	il21r.1
tapbp.2	haus6	slc29a1b
lrmda	tm2d2	cav1
cop1	si:ch211-196f2.6	plek
fmnl2a	BX530018.2	pkma
zgc:154093	slc35f2	bop1
METTL18	slc1a3a	prdx6
atic	cfap97	tomm40l
si:dkey-24l11.2	cox18	si:dkey-7j14.6
c19h1orf109	mgat1a	hsp70l
kitlga	dusp8a	fermt3b
otud4	pacsin3	lygl1
mrpl48	tspan2a	fthl28
utp4	map1ab	tuba1c
xpnpep1	igf2bp3	ier2b
akap12a	wipf1b	parp8
si:dkey-85k15.4	trpt1	slc25a25a
exoc3l1	mgll	lyrm4
fpgs	gcat	hcst
si:ch73-389b16.1	ttc33	CABZ01054965.1
qars1	tmem161a	nip7
zgc:163030	flvcr2b	cd4-1
parp1	si:ch73-248e21.5	irf2
commd9	kif18a	rabl6b
rbm48	ccl25b	si:dkeyp-19e1.3
sigmar1	ankfy1	hmgb1b
polr2h	nbeaa	ISCU
si:dkeyp-69c1.9	ndufa4	cica
mrps17	tmem59l	CU019662.1
si:ch211-113a14.19.2	rad1	cd83
