Positive Melanoma Markers	Positive Brain melanoma Markers	All Distinguishing Markers
		pgam1a
		psme1
		cmah
		bhlhe40
		faua
		ppifb
		cox6c
		hcst
		mycn
		si:dkey-16p21.8
		capza1a
		nuggc.1
		tspan36
		eif1
		si:dkey-78l4.7
		gpia
		mt-co2
		fkbp1aa
		cpne1
		fam49bb
		si:dkey-112e7.2
		ddit3
		nuggc.3
		vamp8
		phlda2
		chd7
		atp5f1d
		rhof
		anxa6
		ywhabb
		serf2
		si:ch211-25d12.7
		si:ch211-103n10.5
		rpl6
		ppp1r18
		rps26
		arpc5b
		si:ch211-161c3.6
		brd2a
		psma8
		atp5mc1
		sh3kbp1
		si:dkey-109a10.2
		ppt1
		CT583625.1
		tma7
		dnajc1
		id1
		baxa.1
		sept7b
		hemgn
		apooa
		arhgap25
		mt-co1
		psma6l
		scin
		si:rp71-68n21.9
		gpx1a
		si:dkey-211g8.4
		mt-co3
		anp32b
		pfn2
		btf3
		pfn2l
		si:dkey-222f8.3
		fermt3a
		tagln2
		atp5f1e
		nutf2l
		atf4b
		gatd3a
		rplp0
		fcer1g
		si:ch211-71m22.1
		cct2.1
		cox7c
		sox4a.1
		si:dkey-21e2.12.1
		rgs18
		grap2b
		fxyd1
		wipf1b
		phf11
		srgn
		atp5po
		gig2d
		si:ch211-132g1.4
		blk
		pax3a
		tprg1
		skap2
		rpl35
		seta
		RPS17
		atp5f1c
		tspo
		pcna
		cd81a
		atp5pb
		pmp22a
		eno3
		prkd4
		hsp90aa1.2
		cox17
		fkbp3
		si:ch211-207n23.2
		mcm5
		atp5f1b
		rpl26
		mtdha
		pde4ba
		zfhx3
		COX7A2
		C19H6orf62
		zgc:152774
		gmpr2
		ywhaba
		xbp1
		ier5
		pim1
		dnmt3aa
		ywhae1
		tfap2e
		jund
		rpl5b
		ybx1
		eif3ha
		klf6a
		eif3k
		zgc:195282
		pleca
		dnajb1b
		fnbp1b.1
		uqcrh
		litaf
		lgals17
		lcp2a
		h1-0
		ikzf1
		ahnak
		epb41b
		nt5c2l1
		atp6v0ca
		cap1
		lgals2a
		si:dkey-78l4.10
		BX936298.3
		bcas2
		bcl7bb
		stk17al
		rdh8a
		si:dkey-1h24.6
		fli1b
		ranbp1
		rps12
		rps24
		pclaf
		si:ch211-5k11.8
		higd1a
		bin2b
		blvrb
		si:dkey-78l4.6
		arl6ip1
		si:ch73-361p23.3
		mbd2
		ola1
		tln1
		crestin
		ercc1
		rasal3
		psmb3
		rsl24d1
		zbtb32
		atp5meb
		zgc:193541
		atf3
		pcbd1
		rpl35a
		psma5
		si:dkey-9k7.3
		lck
		parvg
		eif3ea
		ivns1abpa
		myo1f
		gins4
		crlf3
		chac1
		rbbp9
		coa6
		lmnb2
		zmat2
		fosl1a
		hspa5
		CABZ01081490.1
		rpl4
		sh3bgrl3
		themis
		snrpe
		mvb12a
		si:ch73-264p11.1
		ubc
		sarnp
		smchd1
		tmsb2
		arhgap45b
		kmt2bb
		cib1
		ppib
		ahcy
		ccl36.1
		apbb1ip
		slc4a1a
		qkia
		tob1b
		si:ch211-207c6.2
		agap2
		si:ch211-119e14.1
		cct5
		si:ch211-195b13.1
		zgc:136605
		ndufab1b
		vbp1
		glo1
		nanos1
		cst3
		sik1
		ppp1r10
		rnaseh2a
		si:ch211-196l7.4
		pip5k1ba
		crema
		il6
		rpl28
		si:ch211-57i17.2
		prelid3b
		dynll1
		emp3b
		psap
		spry4
		nfil3-5
		nuggc.2
		polr2l
		traf1
		si:dkey-33c12.4
		zfand5b
		rgs13
		ubb
		ldha
		marcksb
		si:dkey-171c9.3
		hmga1a
		si:ch73-55i23.1
		rpl23a
		ankrd12
		rbb4l
		gpm6ab
		mt-cyb
		fosb
		pmm2
		churc1
		bsg
		ptrh2
		ddx39aa
		casp22
		ophn1
		arhgap15
		rps3
		zgc:163057
		cox7a2a
		eed
		sgk1
		cox8b
		ier2a
		gtf2f2a
		dnajc9
		acin1a
		si:zfos-943e10.1
		psma1
		ddx39ab
		cpeb4b
		clic2
		naca
		mcm4
		sox10
		si:dkey-284p5.3
		fosab
		appa
		dedd1
		cavin1b
		mtbl
		ctsl.1
		syt11a
		si:ch1073-184j22.1
		lsm6
		cabp5a
		hsp70.3
		gzm3.3
		si:ch73-46j18.5
		ctnnb1
		gnai2b
		ier2b
		pnrc2
		parp3
		atp5mc3a
		mtpn
		rassf2b
		tiparp
		sqstm1
		ushbp1
		actr3
		pkma
		mcm6
		junbb
		si:ch211-114l13.9
		irs2b
		hsp70.2
		mdh2
		si:dkey-177p2.6
		rpz5
		sparc
		btg2
		slc38a2
		abi3a
		jun
		ssr2
		atp5mf
		ecrg4a
		ctsba
		mitfa
		ctsd
		limd2
		gstm.1
		sub1b
		tuft1a
		mtap
		si:dkey-76b14.2
		trpm1b
		ak1
		sh2d1aa
		sp100.2
		atp1a1a.1
		sumo2b
		abcf1
		cd63
		zgc:56095
		uqcrq
		zbtb20
		impa1
		nrip2
		COX5B.1
		crebzf
		prkacab
		mt-nd2
		psma2
		pstpip1a
		slc20a1b
		creb3l3l
		phf19
		acap1
		f3b
		eif4h
		eny2
		pam16
		si:ch211-197h24.9
		si:ch211-153b23.7
		serpinb1l1
		cd27
		txk
		prkcaa
		cenph
		lat
		WDR1
		smim29
		mt-atp6
		cxxc5a
		si:dkey-33c9.6
		rrm1
		spice1
		zgc:113411
		ndrg1a
		BX000363.1
		phf5a
		pttg1ipb
		dusp2
		rbbp6
		pcf11
		rpa2
		laptm5
		snu13b
		glod5
		adssl
		kdm6ba
		si:ch211-121a2.2
		zgc:158463
		si:ch211-173d10.4
		socs3a
		BOLA2
		gnai1
		dok2
		ube2na
		hist1h4l.16
		ptpn22
		vdac3
		idh2
		zgc:153018
		snx18a
		mob3a
		si:ch1073-214b20.2
		si:ch211-227m13.1
		si:dkey-33i11.9
		ldhba
		dck
		pak2a
		hmgb3a
		sdcbp2
		eif4ebp1
		ash1l
		egr2b
		tomm20b
		uba5
		lsm8
		hist1h4l.6
		npc2
		cbx7a
		glulb
		gadd45ba
		txn
		mcl1b
		magoh
		calm2a
		csrp1a
		apc
		zfp36l1b
		cetn4
		plecb
		serinc1
		hist1h4l.11
		mgst3b
		tob1a
		atp6ap2
		map2k1
		tmsb
		mcm3
		wu:fc75a09
		prdx1
		tpm3
		spp1
		pomp
		cox6a1
		il6st
		rfc4
		sox6
		selenow1
		si:ch211-165d12.4
		znf865
		zgc:174863
		dad1
		rtn1b
		igfbp1a
		nova2
		SBNO2
		scarb2a
		serbp1a
		brdt
		gp9
		ube2v2
		cep55l
		ada
		tgif1
		cebpb
		cdaa
		alx4a
		pdap1a
		si:ch211-133n4.4
		fosl2
		ca2
		bnip3lb
		rbx1
		eif4ebp2
		tmod4
		erh
		tcima
		cdkn1bb
		map7d1b
		kmt5aa
		si:dkey-21e2.10
		ndufs7
		rhoab
		n4bp2
		aqp1a.1
		hsp70.1
		dnph1
		si:ch211-125e6.8
		si:ch211-212d10.1
		rap1aa
		zgc:92242
		ascc1
		mrpl12
		pfdn1
		adipor2
		Sep-12
		ssb
		anxa11b
		eif1axb
		trappc6bl
		terfa
		ccl38.6
		got2b
		mlpha
		cetp
		slc3a2b
		plcg2
		ctsz
		ms4a17a.6
		ankrd11
		cited4a
		psenen
		gtpbp4
		eif2s3
		ddx3xa
		pcbp2
		eef1db
		ciao2b
		fuom
		prkab1b
		tfap2a
		hist1h2a6
		rnf10
		si:ch1073-429i10.3
		higd2a
		csrp2
		capn2a
		s100a10b
		rgcc
		rtn1a
		si:ch73-335l21.4
		rpl37.1
		lonrf1l
		mdh1aa
		anp32a
		qdpra
		sh3bp2
		ube2ia
		sptlc2b
		rab32a
		ddx5
		tcf12
		UBB
		mthfd2
		maff
		psma3
		abca1a
		si:dkey-79d12.5
		stxbp2
		pho
		trib3
		rps6ka1
		si:dkey-261m9.12
		mcm2
		carhsp1
		lxn
		sh3bp1
		mrpl16
		aimp1a
		itk
		chmp4ba
		eif3d
		ckbb
		zgc:153115
		calm3b
		rps27l
		tubb5
		FQ976914.1
		zbtb38
		jdp2b
		lsm7
		actr2b
		prdx2
		lgmn
		rnasekb
		gzmk
		nfe2l2a
		ccnl1a
		ccnl1b
		twistnb
		sgpl1
		hbba1
		nfe2l3
		zgc:92606
		zgc:171506
		gadd45ga
		ier5l
		itm2ba
		smox
		dusp23b
		polr1d
		eif2s1b
		setb
		pitpnaa
		lysmd2
		bcl2l10
		rgmb
		spen
		hbegfa
		bzw1a
		gmip
		ndufa12
		cxcl18b
		ccn1
		adam8a
		taf15
		capns1a
		aplp2
		hsbp1b
		macf1a
		rnd3a
		si:dkey-95p16.2
		C7H16orf87
		cd99l2
		rgs14a
		fam162a
		krt18a.1
		acy3.1
		mt-nd1
		grn1
		banf1
		rps18
		irf7
		eef2l2
		hoxd9a
		tyms
		gadd45bb
		pbk
		akr1b1.1
		nap1l1
		psip1b
		ndufb9
		rfxank
		park7
		clk4a
		gins3
		cct3
		batf
		cdca7a
		triobpa
		zgc:92140
		ndufs3
		ctss2.2
		pdcd6
		zgc:158343
		degs1
		ncbp2
		cdkn2aipnl
		h3f3b.1
		BX548028.1
		plk2b
		ncoa4
		sept9b
		ssbp1
		gramd2aa
		reep3b
		zgc:110540
		sfpq
		si:dkey-263j23.1
		ralab
		pole4
		uba52
		serpine1
		si:dkey-21e2.16
		ppp1r15a
		add3a
		sdhdb
		snrpa1
		tuba1b
		tspan31
		nmt1b
		si:dkey-19a16.11
		rnaseka
		dock7
		ftr08
		si:ch1073-392o20.2
		atp6v0b
		chd4b
		ndufb10
		casp20
		mibp2
		pa2g4a
		arpc1a
		gig2h
		pprc1
		nasp
		hbae1.3
		tuba1a
		fam168a
		rabl6b
		il4
		elavl3
		phactr3a
		zfand5a
		psmc3ip
		cmpk
		bach1b
		mhc1uka
		znf503
		cfap298
		per2
		sumo3a
		tpm1
		ndufs2
		mgst1.2
		atp2b4
		ndufb5
		eif3ba
		atp6v0cb
		ubr7
		gpm6aa
		cox7a2l
		pald1a
		sec11a
		sptan1
		sdhaf4
		gskip
		rad50
		ndufb6
		lrp12
		tmem35
		lsm3
		eif3g
		polr2a
		zgc:100829
		phpt1
		scpep1
		si:ch1073-185p12.2
		pik3ap1
		cd40lg
		thoc3
		dnpep
		eif3c
		sae1
		efhd1
		pgrmc1
		si:dkey-21e2.13
		psma4
		rps19bp1
		ip6k2b
		slc25a25a
		ndrg2
		eif4ebp3l
		ywhabl
		si:ch73-95l15.5
		sec61g
		s1pr5b
		cdk6
		prkchb
		rhag
		ENSDARG00000105068
		hbbe1.1
		nudt21
		zgc:163080
		hivep1
		cnn3b
		si:dkey-19b23.10
		canx
		mt-nd4
		lmo2
		hbae1.3.1
		mdka
		sp100.3
		fstl1b
		hgs
		cox5ab
		si:dkey-185m8.2
		rab35b
		smc2
		phf20b
		cdc20
		eif5
		ciarta
		acy3.2
		acsl4a
		atl3
		rcor1
		metrnla
		eomesa
		si:dkey-21e2.8
		pptc7a
		DHDH
		gpx4a
		mdkb
		nfatc2b
		acaa1
		ndufa4l
		RASSF5
		si:ch211-15b10.6
		prnprs3
		pfkfb4b
		ikzf2
		tma16
		idh3a
		brd3b
		C1H4orf33
		defbl1
		glipr1a
		si:dkey-53k12.1
		ppp1r12c
		gdi1
		guk1a
		baxb
		c1qc
		il10rb
		flrt1b
		zgc:158564
		lgals3bpb
		xaf1
		si:dkey-42i9.6
		rpa1
		CABZ01109481.1
		sh3pxd2b
		igf2b
		rbm8a
		kpna2
		zeb2a
		si:ch211-167j9.5
		jam3b
		tmem50a
		eif3s6ip
		brk1
		mcm7
		ndufab1a
		dtnbp1a
		tox2
		syncrip
		nptna
		gmfb
		slc20a2
		rca2.1
		si:ch211-253b8.5
		si:ch211-197h24.8
		lsm4
		sumo1
		ifit10
		dpy30
		s100a10a
		si:dkey-28b4.7
		tmem176l.1
		anxa3b
		klhl24b
		ppp1r14bb
		mrpl39
		susd6
		atp5if1b
		soul4
		si:ch211-156b7.4
		ndufa8
		tomm7
		chmp5b
		fxyd6l
		angptl4
		cdc42ep5
		egr1
		si:ch73-308l14.2
		arl4ab
		socs3b
		akt1s1
		elmsan1b
		rbfox2
		mhc2a
		nkain1
		nr4a3
		rab10
		iscub
		orc6
		sptb
		rbp4
		si:ch211-93g21.1
		DAB2
		cnn3a
		gp1bb
		atp5fa1
		epb41a
		ginm1
		slc39a7
		mbnl2
		cenpx
		net1
		midn
		si:ch211-286b5.5
		ccdc85b
		FQ377660.1
		ifrd1
		vegfaa
		kif26ba
		her9
		per3
		TCIM
		mrpl11
		pfdn5
		dlx2a
		mt2
		smarcd1
		letm2
		hmgb1a
		ywhaqb
		mafba
		mrps36
		ccng2
		si:dkey-238k10.2
		hbbe1.3
		znf609b
		mbpb
		ipcef1
		adcyap1b
		wsb1
		mzt2b
		srpra
		si:ch211-137a8.4
		gpnmb
		nck1b
		ddx21
		gab1
		sox11a
		mych
		arf6b
		tspan3a
		twf1a
		add2
		CU984600.2
		cd28
		ctsh
		syk
		ciao1
		nup43
		lygl1
		mrps33
		spns2
		CABZ01080568.1
		elovl1b
		lyrm9
		chtopa
		atf5b
		denr
		slc29a1b
		hoxc11a
		vamp2
		hsp70l
		slc7a3a
		pagr1
		mt-nd3
		si:dkey-200l5.4
		acot13
		nme2b.1
		cops5
		cdk2
		orc4
		timm10
		si:dkey-6i22.5
		cirbpa
		wnk4b
		ptena
		psat1
		tmem243a
		gtpbp1
		prkab1a
		ncaph2
		rfesd
		pbx4
		ehd1b
		gtdc1
		capzb
		ing4
		lsm5
		asah1b
		pmaip1
		jmjd1cb
		rbm24a
		tnfsf14
		si:ch211-113a14.12
		tsc22d1
		mfsd2ab
		sla1a
		aldocb
		arpp19b
		palm1b
		ahr2
		si:ch211-145c1.1
		atp2b1a
		zgc:77486.1
		uhrf1
		cers2a
		cd99
		selenop
		si:ch211-213a13.1
		ldb1a
		ptk2ba
		ptp4a1
		ccl34b.8
		gsta.1
		fam210b
		nr1d2b
		irf2bp2b
		nsmce2
		phc2a
		mxc
		snrpc
		si:dkey-21a6.5
		ywhag2
		arrdc3a
		socs5b
		top2a
		hmgb1b
		si:ch211-212k18.7
		tuba8l
		mrpl33
		isg15
		nhp2
		eipr1
		adsl
		si:dkey-188i13.10
		rnf146
		CAPN1
		si:dkeyp-75h12.7
		smc4
		itga5
		tmeff1b
		si:dkey-78l4.8
		CR388166.2
		c1qb
		cd9b
		tns1b
		mycb
		plekho2
		anxa2a
		pim3
		lmna
		grinab
		eif3i
		med29
		ech1
		arg2
		fen1
		rab5aa
		mrpl13
		ifi35
		foxo4
		stat4
		kctd5a
		eef1da
		chchd6b
		cebpd
		laptm4b
		slc25a55a
		c1qbp
		dap
		kmt2cb
		sec13
		ndufb4
		nuak1b
		NPC2
		camk1da
		zgc:153722
		bzw1b
		si:dkey-21e2.3.1
		babam1
		Sep-03
		ctps1a
		capns1b
		phf14
		myb
		slc1a5
		stat1a
		selenoh
		cd9a
		mrps18a
		b3gnt5a
		cav1
		marco
		nabp1a
		ndufb2
		si:dkey-204f11.64
		ywhah
		rgl1
		kcnk5b
		acadvl
		si:ch211-113a14.18
		si:ch73-269m14.2
		appb
		si:dkey-93h22.7
		eif4a1a
		nfatc2ip
		rhoca
		myh9b
		senp2
		serinc2
		dnajb1a
		lsm1
		rarres3
		slc20a1a
		pxna
		phyhd1
		pxk
		smg7
		si:dkey-97a13.6
		mrpl28
		cux1a
		vdac1
		serpinb1
		exosc3
		oser1
		calm3a
		elavl4
		gpn1
		tfr1a
		dlgap5
		selenow2a
		alyref
		drap1
		zswim5
		cx43.4
		cdh2
		ssrp1a
		arhgap4a
		psmd9
		gse1
		MYG1
		rsad2
		rbm5
		stam
		rnaset2
		hpcal1
		stox2b
		si:ch211-183d5.2
		slc7a8a
		yrk
		mpc2
		ube2d3
		si:ch211-232b12.5
		clstn1
		snrpd2
		ndufs4
		myt1a
		mrps9
		zgc:162730
		mapre1b
		ndufb7
		mknk2b
		ppp1caa
		top2b
		si:dkey-79f11.10
		hbae1.1
		gsna
		cmtm6
		ezrb
		arhgef33
		ncapd3
		zgc:195173
		def6b
		ctsf
		naa40.1
		nfe2l1b
		mef2b
		cavin2b
		si:ch211-178n15.1
		kansl1b
		si:dkey-7j14.6
		nocta
		srsf11
		si:dkey-239h2.3
		btf3l4
		prkcha
		dnajc19
		grna
		rbm47
		si:ch211-196f2.6
		CR381673.1
		slc38a5b
		col1a2
		rnf19a
		ank2b
		hbp1
		tdh
		kdm1a
		si:ch73-56d11.5
		map4l
		cct7
		si:dkey-44g23.5
		sod1
		cdc42se1
		bloc1s6
		aste1a
		brd1b
		myl6
		b4galt6
		pcdh2g28
		ncl
		si:dkey-183i3.5
		tardbpl
		esco2
		ppm1ab
		ccnt1
		robo1
		pcyt2
		srgap3
		myca
		cdk1
		si:dkey-92i17.2
		tpm4a
		gars1
		plekho1b
		zgc:110239
		nme2b.2
		cpa5
		mrps24
		trim35-14
		sox2
		ccdc12
		si:ch211-198c19.3
		nucks1a
		rbfox1
		ggps1
		ifi30
		inka1b
		cpe
		sash1a
		ube2al
		CU457819.1
		map2k6
		uchl5
		pdcd6ip
		myt1b
		CABZ01088367.1
		rfc3
		cetn3
		nrp2b
		si:dkey-23a13.17
		ppdpfa
		zmp:0000000735
		arrdc3b
		atp2a2b
		kras
		nat16
		atp1b2a
		c1qa
		phgdh
		coq10b
		snx3
		zgc:113314
		mylipa
		etv5b
		phkg2
		anxa13
		chaf1a
		STMP1
		txlna
		ndufa9a
		prkcda
		FP236331.1
		eif4g2b
		tbc1d10c
		prrc2a
		her6
		txn2
		dph6
		atox1
		smc6
		ftr56
		dffb
		ppp1cab
		pmp22b
		alas1
		suv39h1b
		nr1d2a
		pabpc1b
		tm9sf3
		rgs3a
		prr11
		mhc2b
		sv2a
		zbtb7b
		arl4aa
		zgc:174904
		ndufaf5
		cnn2
		ctsk
		cep170aa
		larp4ab
		mapk13
		soga1
		cct8
		vdrb
		ipo7
		gng3
		mrpl51
		aurkb
		klf1
		si:ch211-196f19.1.1
		chd2
		cbr1l
		si:ch211-235e9.6
		txnl4b
		dhrs1
		crebbpb
		gclc
		uri1
		tmed10
		mef2cb
		tmem131
		si:dkey-286j15.3
		sgce
		si:ch1073-153i20.4
		shroom2a
		castor2
		ywhaz
		kalrna
		sox11b
		apoda.1
		ost4
		rab8b
		hddc3
		cxcl19
		ndfip1l
		uros
		brd4
		pik3r3b
		sec22ba
		srek1ip1
		mtm1
		pfdn6
		adh5
		trmt112
		tnrc6a
		zgc:63863
		sh3bp5la
		plek
		id2a
		tuba1c
		rassf2a
		srgap2
		rtca
		susd1
		fgl2a
		NDUFB1
		rab11fip5a
		prkcbb
		mdm1
		atg9b
		ndufs8a
		gnai2a
		pane1
		purab
		col5a1
		ufm1
		si:dkey-23i12.7
		arhgap5
		rasgef1ba
		BX284638.2
		clta
		hdac10
		fam214a
		mt-nd5
		inpp5d
		snrpb2
		laptm4a
		eci2
		dbn1
		mettl1
		smim8
		si:dkey-261h17.1
		aplp1
		clic4
		necab1
		zgc:153901
		btbd6a
		vps26b
		mettl5
		ndel1b
		psmc4
		si:dkey-156m2.3
		mrpl4
		arf6a
		pfkfb3
		rbm39a
		antxr2a
		tfe3a
		cd2bp2
		sem1
		ccna2
		tomm22
		sec62
		slc22a21
		si:ch211-209l18.2
		pde10a
		psmc6
		si:dkey-56m19.5
		si:dkeyp-27c8.2
		tacc1
		ucp3
		stx1b
		prkcq
		atp1a3a
		slc15a4
		hmgn6
		syt1a
		im:7152348
		cebpg
		hoxc11b
		psmc2
		tet3
		gclm
		micu2
		PLEKHH3
		etfb
		cenps
		micos13
		arhgap42a
		dpysl3
		ndufv3
		si:ch73-380l3.2.1
		lin52
		mtmr8
		CABZ01115113.1
		lysmd3
		scg3
		rac1a
		sec61b
		dido1
		prr12b
		zmp:0000000997
		klf12a
		arl11
		nr4a1
		hectd1
		anapc15
		cry3a
		rapgef2
		cops2
		stom
		tp53
		zfand2a
		actl6a
		srp19
		gstr
		anxa5b
		bmpr2a
		sik2b
		eif4a1b
		lsp1a
		mmp14b
		ccdc97
		snrpb
		per1b
		cmip
		dab2ipa
		foxp4
		cnot6a
		LECT2
		hlfa
		srsf3b
		si:busm1-194e12.11
		yy1a
		snai1a
		si:ch211-79k12.1
		uqcrc2b
		mapk6
		etv4
		rhd
		stoml3b
		rarres3l
		si:dkey-237j11.3
		itpa
		tnrc18
		stxbp6
		rida
		sypa
		ubl3a
		zgc:103700
		icam3
		dpp3
		col1a1a
		perp
		nfia
		kansl1a
		myl12.2
		ostf1
		ctsc
		ptgdsb.2
		hif1al2
		suco
		spc24
		fez1
		stmn1b
		zgc:112496
		necap1
		slc38a5a
		cdc42bpb
		atp5pd
		mast2
		abcc5
		crk
		fam210aa
		map2k2a
		zgc:174888
		gtf2e2
		nfil3
		bcar1
		actn4
		dbi
		pbx1a
		si:ch211-271e10.2
		cdkn1a
		cycsb
		tsg101b
		sult6b1
		zfhx4
		f13a1b
		rgs12b
		ndfip1
		postnb
		ctsa
		rfc2
		sf3b2
		ociad2
		atp6v1g1
		slmapb
		NCKAP1L
		slc6a17
		thap4
		slc9a3r1a
		coa3a
		ndrg4
		npl
		pmela
		cspg5a
		dhrs12
		tax1bp1b
		pik3cd
		r3hdm1
		pik3ip1
		pik3r1
		ctdsp2
		nr4a2b
		pde3b
		nucb2a
		lhfpl2a
		pkig
		mef2aa
		cry2
		vhll
		CU571384.1
		ndufb11
		ube2v1
		prkci
		rangap1b
		niban2b
		znf292a
		map1lc3a
		atp11a
		slc16a10
		nbr1a
		adam10a
		epc1b
		bhmt
		CR847543.1
		nop53
		cart3
		si:dkey-188i13.11
		taf10
		kdm6bb
		id2b
		pcbp4
		vim
		timp2b
		akr1a1b
		keap1a
		cdc37
		si:cabz01030277.1
		sdhb
		impdh2
		hmgb3b
		si:ch211-195b15.8
		xpo1b
		dhfr
		ntmt1
		dhdds
		glipr2
		ets1
		ctdsplb
		cyp2aa7
		ift20
		raph1b
		cxxc5b
		cmc1
		slc1a4
		glula
		tmed2
		spock3
		csrnp1b
		gigyf1b
		golga7ba
		zgc:66433
		hspa4a
		si:dkey-262k9.4
		CABZ01066694.1
		anapc16
		rarga
		inhbaa
		fkbp2
		ywhag1
		lima1a
		vamp3
		dohh
		ctnnd1
		zgc:65894
		marveld1
		ktn1
		ctnnb2
		nubp2
		BX571715.1
		mapk3
		hsbp1a
		cyba
		sigmar1
		ormdl1
		ENSDARG00000022564
		abhd17b
		ak3
		eif4a3
		osgep
		akip1
		afdna
		nme3
		setbp1
		emc10
		pdxka
		nfil3-6
		mus81
		CABZ01020840.1
		baz1a.1
		CDPF1
		cd164
		ufc1
		calcoco1a
		tat
		bcl7ba
		dpysl2b
		rtn4a
		sap18
		uchl1
		itm2bb
		nufip2
		myo10l3
		lifrb
		akap12b
		nedd4a
		mical3a
		rabif
		hbba2
		stxbp1a
		selenot2
		gna11b
		basp1
		map3k14a
		cbsb
		si:dkeyp-55f12.3
		mxa
		sdc2
		dnajc5aa
		auts2a
		slc25a36a
		nfyba
		srfbp1
		relt
		purba
		aoc2
		tp53inp2
		SERP2
		fnta
		gadd45ab
		fgfr1op2
		si:ch211-243a20.3
		eci1
		tcf7l1a
		si:dkey-85k7.12
		mex3b
		atf1
		tax1bp3
		tes
		tent5ba
		frg1
		DDX17
		elocb
		nrxn1a
		prpf38b
		meis1b
		glsb
		stmn2a
		dusp6
		ptbp1b
		mff
		ppdpfb
		bambia
		fam133b
		slc25a33
		tmem106ba
		zgc:92107
		lsm14ab
		slbp
		vapb
		sf3b5
		si:ch73-158p21.3
		ist1
		tfap2c
		limk1b
		csde1
		mrps10
		wu:fb64b08
		arhgef12b
		plpp3
		wasla
		hbba1.1
		svild
		si:dkey-81j8.6
		hax1
		nras
		slc29a1a
		si:dkey-40g16.6
		slc12a2
		eaf1
		si:ch211-199g17.2
		pik3cg
		lrrc8da
		zgc:174906
		dbx1b
		atp5mea
		gng7
		mid1ip1b
		cyth4b
		dbnlb
		vamp5
		s100v2
		col1a1b
		ppil1
		ZC3H12A
		il13ra1
		cadm4
		pacsin1a
		foxd3
		ube2l3a
		zbtb16a
		foxo3b
		pip4p1a
		ccl34a.4
		romo1
		emc7
		selenoj
		mgat4a
		cdk5rap3
		AK6
		map1aa
		h3f3d
		mllt11
		zgc:174862
		atf7ip
		si:ch211-191j22.3
		prkacaa
		hsp90b1
		pde7a
		si:ch211-225b11.1
		sugt1
		rspry1
		cyc1
		mrpl34
		rnf185
		insig1
		spag1a
		ddah2
		ifitm1
		kidins220b
		mrpl30
		dnajb2
		si:dkey-4e7.3
		camk2n1a
		cdc42
		faxdc2
		cpdp
		snap25a
		reep5
		srsf2a
		cep350
		ndufs6
		arid5a
		ptp4a3a
		fam168b
		yap1
		morf4l1
		SGMS1
		atp1b3b
		msi2b
		znf395a
		etv5a
		si:ch211-173p18.3
		slc31a2
		neu1
		clul1
		abcf2a
		phlda1
		SENP7
		cgref1
		sgip1a
		zbtb18
		dusp1
		taok1a
		cxcl12a
		hbbe1.2
		unc119b
		si:cabz01101003.1
		hvcn1
		eef1b2
		kif1b
		kdelr2a
		mrpl36
		il7r
		si:ch211-256m1.8
		swt1
		tcirg1b
		myo1b
		pax7a
		spi1a
		msna
		riok1
		gsk3ba
		zgc:153704
		iqsec1b
		si:ch211-251b21.1
		acsl3b
		ly75
		Sep-10
		dennd2da
		ubtd1b
		hnrnpa0l.1
		bccip
		hoxc10a
		tenm3
		ss18l2
		suclg1
		RALGDS
		kctd4
		ostc
		mef2d
		serinc5
		cd82a
		selenot1a
		slc36a1
		bckdhbl
		cfap97
		parp2
		hagh
		mxra8b
		olfm1b
		rasgef1bb
		stmn4
		mpeg1.1
		kif1aa
		ip6k2a
		mknk2a
		bag3
		fuca2
		rmdn1
		irf2bpl
		sesn2
		ubap2a
		dipk2b
		cflara
		jpt1b
		leng8
		sdr16c5b
		fnbp1l
		chst2a
		sh3rf1
		slc35f6
		tegt
		tal1
		anapc13
		fnip1
		tjp1a
		si:rp71-36a1.5.1
		ptprfb
		bahcc1b
		atad2
		fthl30
		zdhhc5a
		alox5b.3
		psmc3
		prdx6
		slc30a1a
		ms4a17a.10
		tmem176l.4
		usp19
		mcee
		igf1rb
		sf3b6
		hbae3
		dnaja2a
		marcksa
		tmem59l
		sash1b
		amotl2a
		serp1
		ccdc47
		fat1a
		nat8l
		zgc:173552
		si:ch211-198a12.6
		pwp2h
		pwwp2b
		CABZ01068358.1
		ddx6
		sptbn1
		tfg
		rhbdf1a
		eif6
		fthl28
		antxr1c
		flcn
		itgav
		mcf2l2
		si:dkeyp-68b7.12
		nudt22
		riok3
		rrad
		cct4
		borcs8
		stk35
		syngr3b
		tradd
		ecm1b
		sco1
		vash2
		lamtor2
		rer1
		lgals3a
		uqcrc1
		relb
		cblc
		FO082781.1
		sorbs1
		mettl26
		gzm3
		mbd3b
		rhoac
		slc6a9
		slc23a2
		btg3
		ndufv2
		mapk8ip3
		csnk1da
		bambib
		trim33
		tuba2
		rerea
		skib
		fbxo11a
		lpgat1
		fbxl6
		rhogd
		mia3
		pgm3
		cops7a
		tshz1
		birc5a
		frmd8
		MARK4
		dpp7
		kel
		git2a
		rab14
		bcl7a
		arhgap35a
		rtn4b
		phc2b
		ahi1
		btk
		slc12a7a
		itgb1a
		mib1
		pdgfrb
		etf1b
		csnk1db
		CU019662.1
		aarsd1
		si:ch73-233k15.2
		clgn
		ehd4
		stx6
		daam1a
		nckap1
		uck2a
		COA4
		f3a
		gnao1a
		ENSDARG00000055383
		rabac1
		gtf2h5
		snapc3
		fpgs
		spire1a
		hsdl2
		pclob
